Univ_Code_Key,Univ_Abr_Code,Univ_name,Univ_name2,Univ_Institution_Type,Univ_Member_Since,Univ_Member_Until,Univ_Dept,Univ_Street,Univ_House_Number,Univ_City,Univ_PO_Box,Univ_PO_Zip,Univ_State,Univ_Zip,Univ_Country,Univ_Active,SSMA_TimeStamp,Univ_TimeZone,Univ_Member_Type,Univ_Degree,Univ_Status,Univ_GeoCode,Univ_URL,Univ_Modified
21,ARCA,Arcadia University,,01,1999,20101231,,S. Easton Road,450,Glenside,,,PA,19038,US,-1,0000000000020E44,EST,01,05,02,,http://www.arcadia.edu,1/10/2011
22,EDIN,Edinboro University of Pennsylvania,,01,2004,,Business Administration & Economics,Hendricks Hall,215,Edinboro,,,PA,16444,US,-1,000000000001F40C,EST,01,04,01,,http://www.edinboro.edu/departments/bus_econ,11/5/2010
23,GU,Georgetown University,,01,2004,,McDonough School of Business,Old North,412,Washington,,,DC,20057,US,-1,000000000001F40F,EST,01,05,01,,http://msb.georgetown.edu,11/5/2010
24,SALS,Salisbury University,,01,2003,,Perdue School of Business,Camden Avenue,1101,Salisbury,,,MD,21801,US,0,000000000001F433,EST,01,04,01,,http://www.salisbury.edu/perdue,11/5/2010
25,WNEC,Western New England College,,02,2006,,School of Business,Wilbraham Road,1215,Springfield,,,MA,01119,US,-1,000000000001F461,EST,01,05,01,,http://www.wnec.edu/business,11/5/2010
26,LEMC,Le Moyne College,,01,2007,,Information Technology,Salt Springs Road,1419,Syracuse,,,NY,13214,US,-1,000000000001F41B,PST,01,04,01,,http://www.lemoyne.edu,11/5/2010
27,HOFU,Hofstra University,,01,2007,,"Department of BCIS/QM, Zarb School of Business",Hofstra University,134,Hempstead,,,NY,11549-1340,US,-1,000000000001F412,EST,01,05,01,,http://www.hofstra.edu/Academics/Colleges/Zarb,11/5/2010
28,UTD,University of Texas-Dallas,,01,1999,,School of Management,N. Floyd Road,2601,Richardson,,,TX,75080,US,-1,000000000001F459,CST,01,05,01,,http://som.utdallas.edu,11/5/2010
29,BU,Bentley University,,01,1998,,,Forest Street,175,Waltham,,,MA,02452,US,-1,000000000001F401,EST,01,05,01,,http://www.bentley.edu,11/4/2010
30,BRYC,Bryant University,,01,2004,,,Douglas Pike,1150,Smithfield,,,RI,02917,US,-1,000000000001F475,EST,01,04,01,,http://www.bryant.edu,11/8/2010
31,CLRK,Clarkson University,,01,1998,,School of Business,Clarkson Avenue,8,Potsdam,,,NY,13699,US,-1,000000000001F466,EST,01,05,01,,http://www.clarkson.edu/business/index.html,11/5/2010
32,GIT,Georgia Institute of Technology,,01,1998,,College of Management,W. Peachtree Street,800,Atlanta,,,GA,30332,US,-1,000000000001F410,EST,01,05,01,,http://www.mgt.gatech.edu,11/5/2010
33,IUSB,Indiana University South Bend,,01,2000,,School of Business and Economics,Mishawaka Ave.,1700,South Bend,PO Box 7111,46634,IN,46634,US,-1,000000000001F417,EST,01,04,01,,http://www.iusb.edu/~buse,11/5/2010
34,PACE,Pace University,,01,2001,20131231,Lubin School of Business,"Pace Plaza, Room W407",1,New York,,,NY,10038,US,-1,000000000004BE80,EST,01,05,02,,http://www.pace.edu/pace/lubin,1/6/2014
